All Whiskers,,,,,,Bridged Whiskers,,,,,,,,Critical Bridged Whiskers,,,,,,,,Simulation Inputs,
Whisker #,Length (um),Width (um),Resistance (ohm),Iteration,,Whisker #,Length (um),Diameter (um),Resistance (ohm),Iteration,Conductor 1,Conductor 2,,Whisker #,Length (um),Diameter (um),Resistance (ohm),Iteration,Conductor 1,Conductor 2,,Parameter,Value
1,2724.543,100.7474,0.03725307,1,,60,2862.211,-9.643272,4.271588,1,R39,GND,,,,,,,,,,Length Mu,3000
2,2677.396,43.39678,0.1973032,1,,72,3572.821,116.8805,0.03629643,1,D1,NetD1_2,,,,,,,,,,Length Sigma,500
3,2244.892,16.72502,1.113778,1,,9,3573.692,48.01682,0.2151131,1,R30,NetR22_2,,,,,,,,,,Width Mu,70
4,4232.02,93.72195,0.06686542,1,,11,2533.531,104.6733,0.03209158,2,Q1,GND,,,,,,,,,,Width Sigma,30
5,3383.889,109.8444,0.03892215,1,,3,2118.148,106.4268,0.02595321,2,R10,NetR9_2,,,,,,,,,,# Of Whiskers,75
6,2481.16,86.1572,0.04638828,1,,52,2548.806,83.06421,0.05126789,2,L2,NetL2_1,,,,,,,,,,Conductive Material Selection,copper
7,2742.782,43.97084,0.1968786,1,,34,4157.651,100.6835,0.05692043,2,R10,NetC2_1,,,,,,,,,,Whisker Material,Tin
8,2597.094,17.52564,1.173482,1,,68,3079.966,107.9273,0.0366961,2,R34,NetR33_2,,,,,,,,,,Distribution Selection,Normal
9,3573.692,48.01682,0.2151131,1,,6,3790.895,92.30662,0.06174654,2,GND,NetQ1_1,,,,,,,,,,Whisker Spawn Point X,0
10,3524.966,30.21893,0.5357144,1,,70,2532.479,57.30371,0.1070328,2,R28,NetL2_1,,,,,,,,,,Whisker Spawn Point Y,0
11,3701.557,87.50539,0.06708902,1,,7,3295.153,98.76639,0.04688067,3,NetR11_2,NetR12_1,,,,,,,,,,Whisker Spawn Point Z,0
12,2674.321,92.15618,0.04370198,1,,48,3106.242,118.2867,0.03081059,3,NetR12_1,NetR11_2,,,,,,,,,,X-Coord,3
13,2297.806,115.9648,0.02371361,1,,9,3608.696,73.02025,0.09392913,3,R29,NetR29_2,,,,,,,,,,Y-Coord,1
14,3634.502,104.3512,0.04632195,1,,54,2782.151,70.85811,0.0769021,4,R29,NetR29_2,,,,,,,,,,Z-Coord,3
15,3341.687,49.33427,0.1905482,1,,15,2470.379,86.2955,0.04603879,4,NetC2_1,NetC2_2,,,,,,,,,,Gravity,Earth
16,3544.468,55.94725,0.1571557,1,,41,3664.156,102.3586,0.04853577,4,R7,C1,,,,,,,,,,# of Iterations,7
17,3161.549,1.030113,413.4915,1,,2,3253.23,73.33347,0.08395506,4,R6,R5,,,,,,,,,,Directory Path,C:\test
18,2662.071,107.194,0.03215255,1,,55,2854.411,59.24028,0.1128805,4,R29,NetL2_2,,,,,,,,,,Save File Name,test79
19,2966.731,86.1322,0.0554988,1,,71,2156.379,30.01501,0.3321886,5,C6,NetC6_2,,,,,,,,,,Shock Active,N
20,3816.538,76.56278,0.09035885,1,,75,3850.072,91.04996,0.06445342,5,R5,NetR5_2,,,,,,,,,,Vibration Active,N
21,3207.564,74.66951,0.07984088,1,,23,3530.831,46.61014,0.2255552,5,C6,NetC6_2,,,,,,,,,,,
22,3814.092,81.61938,0.07945865,1,,12,2902.396,81.55546,0.06056019,5,R32,NetC5_2,,,,,,,,,,,
23,3538.64,124.8592,0.03150153,1,,55,3608.636,67.37206,0.1103367,6,R7,NetC1_1,,,,,,,,,,,
24,3831.864,37.20303,0.3842289,1,,30,3963.589,34.73265,0.4559837,6,D1,R4,,,,,,,,,,,
25,3404.877,129.7994,0.02804742,1,,36,2900.461,60.93414,0.1084133,6,R3,NetQ2_2,,,,,,,,,,,
26,3446.278,80.0451,0.07464785,1,,47,3236.359,82.83282,0.06546187,6,R12,R15,,,,,,,,,,,
27,2430.708,30.5046,0.3625256,1,,8,2783.194,119.0989,0.02723107,6,R30,NetR29_2,,,,,,,,,,,
28,3594.773,66.81862,0.1117411,1,,68,2852.9,138.5075,0.02063843,6,R2,NetQ2_1,,,,,,,,,,,
29,2817.548,71.93794,0.07555999,1,,74,3417.823,76.46314,0.08113007,6,R10,NetC2_1,,,,,,,,,,,
30,3208.944,71.56796,0.08694836,1,,29,3218.171,118.6783,0.03171052,7,P1,GND,,,,,,,,,,,
31,2455.589,98.70145,0.03498205,1,,13,2955.73,34.5395,0.3438501,7,Q1,GND,,,,,,,,,,,
